StreamID: 289
Parameters: FLOW_OUTcms, ORGN_OUTkg
Dates: 01/01/2001 - 12/31/2015



UTCoffset(sec)   Date(m/d/y)   FLOW_OUTcms   ORGN_OUTkg
991612800        6/4/2001      132.8         0.0          
991699200        6/5/2001      166.6         2.32         
991785600        6/6/2001      317.3         42.34        
991872000        6/7/2001      226.4         5.244        
991958400        6/8/2001      208.3         1.317        
992044800        6/9/2001      434.4         56.01        
992131200        6/10/2001     280.1         7.606        
992217600        6/11/2001     248.9         1.988        
992304000        6/12/2001     230.0         0.5783       
992390400        6/13/2001     211.1         0.1768       
992476800        6/14/2001     190.1         0.055        
992563200        6/15/2001     170.1         0.01727      
992649600        6/16/2001     153.1         0.0          
992736000        6/17/2001     135.6         0.0          
992822400        6/18/2001     120.1         0.0          
992908800        6/19/2001     106.8         0.0          
992995200        6/20/2001     98.38         0.0          
993081600        6/21/2001     91.67         0.0          
993168000        6/22/2001     111.2         0.2173       
993254400        6/23/2001     210.9         15.13        
993340800        6/24/2001     236.9         12.3         
993427200        6/25/2001     518.8         90.17        
993513600        6/26/2001     364.9         18.57        
993600000        6/27/2001     353.6         12.08        
993686400        6/28/2001     316.8         1.901        
993772800        6/29/2001     329.4         1.439        
993859200        6/30/2001     296.2         0.2124       
993945600        7/1/2001      271.3         0.04958      
994032000        7/2/2001      582.7         57.7         
994118400        7/3/2001      544.2         60.47        
994204800        7/4/2001      379.1         9.95         
994291200        7/5/2001      337.0         2.449        
994377600        7/6/2001      308.3         0.6912       
994464000        7/7/2001      281.4         0.2085       
994550400        7/8/2001      297.1         3.502        
994636800        7/9/2001      263.1         0.3919       
994723200        7/10/2001     238.8         0.05525      
994809600        7/11/2001     215.9         0.0          
994896000        7/12/2001     202.4         0.0861       
994982400        7/13/2001     200.1         0.3065       
995068800        7/14/2001     182.7         0.03154      
995155200        7/15/2001     177.2         0.0265       
995241600        7/16/2001     183.3         0.3982       
995328000        7/17/2001     175.2         0.03896      
995414400        7/18/2001     179.8         0.172        
995500800        7/19/2001     567.8         124.3        
995587200        7/20/2001     351.7         23.19        
995673600        7/21/2001     304.0         5.831        
995760000        7/22/2001     294.9         1.818        
995846400        7/23/2001     275.2         0.4742       
995932800        7/24/2001     307.2         6.077        
996019200        7/25/2001     278.7         0.6386       
996105600        7/26/2001     372.9         24.02        
996192000        7/27/2001     303.0         2.128        
996278400        7/28/2001     286.6         0.3901       
996364800        7/29/2001     286.2         0.8721       
996451200        7/30/2001     261.2         0.0854       
996537600        7/31/2001     242.7         0.04517      
996624000        8/1/2001      238.7         0.509        
996710400        8/2/2001      276.3         7.654        
996796800        8/3/2001      241.7         0.6003       
996883200        8/4/2001      223.1         0.07998      
996969600        8/5/2001      212.1         0.04951      
997056000        8/6/2001      218.9         0.5374       
997142400        8/7/2001      227.6         0.9386       
997228800        8/8/2001      895.3         306.6        
997315200        8/9/2001      390.7         43.4         
997401600        8/10/2001     351.6         15.24        
997488000        8/11/2001     356.3         9.634        
997574400        8/12/2001     314.2         1.634        
997660800        8/13/2001     298.3         0.4698       
997747200        8/14/2001     331.6         5.255        
997833600        8/15/2001     298.7         0.6421       
997920000        8/16/2001     394.0         14.16        
998006400        8/17/2001     309.2         1.218        
998092800        8/18/2001     283.0         0.1908       
998179200        8/19/2001     264.0         0.03687      
998265600        8/20/2001     251.8         0.0453       
998352000        8/21/2001     230.7         0.0          
998438400        8/22/2001     210.1         0.0          
998524800        8/23/2001     192.7         0.0          
998611200        8/24/2001     176.6         0.0          
998697600        8/25/2001     244.3         9.593        
998784000        8/26/2001     208.9         0.806        
998870400        8/27/2001     196.7         0.1074       
998956800        8/28/2001     185.3         0.0          
999043200        8/29/2001     172.1         0.0          
999129600        8/30/2001     158.9         0.0          
999216000        8/31/2001     149.6         0.0          
999302400        9/1/2001      166.5         0.9772       
999388800        9/2/2001      191.3         1.119        
999475200        9/3/2001      242.6         4.232        
999561600        9/4/2001      216.6         0.3482       
999648000        9/5/2001      221.9         0.169        
999734400        9/6/2001      224.2         0.1009       
999820800        9/7/2001      227.0         0.1385       
999907200        9/8/2001      244.1         1.368        
999993600        9/9/2001      223.8         0.1187       
1000080000       9/10/2001     208.6         0.0          
1000166400       9/11/2001     193.9         0.0          
1000252800       9/12/2001     196.5         0.4322       
1000339200       9/13/2001     180.2         0.04134      
1000425600       9/14/2001     166.1         0.0          
1000512000       9/15/2001     152.7         0.0          
1000598400       9/16/2001     140.7         0.0          
1000684800       9/17/2001     129.2         0.0          
1000771200       9/18/2001     131.6         0.0548       
1000857600       9/19/2001     127.1         0.0          
1000944000       9/20/2001     125.5         0.0          
1001030400       9/21/2001     118.1         0.0          
1001116800       9/22/2001     111.8         0.0          
1001203200       9/23/2001     105.0         0.0          
1001289600       9/24/2001     97.87         0.0          
1001376000       9/25/2001     92.13         0.0          
1001462400       9/26/2001     85.61         0.0          
1001548800       9/27/2001     81.39         0.0          
1001635200       9/28/2001     77.74         0.0          
1001721600       9/29/2001     71.45         0.0          
1001808000       9/30/2001     68.06         0.0          
1001894400       10/1/2001     66.87         0.0          
1001980800       10/2/2001     62.2          0.0          
1002067200       10/3/2001     60.73         0.0          
1002153600       10/4/2001     59.55         0.0          
1002240000       10/5/2001     57.55         0.0          
1002326400       10/6/2001     55.06         0.0          
1002412800       10/7/2001     53.45         0.0          
1002499200       10/8/2001     111.4         1.19         
1002585600       10/9/2001     120.2         0.1095       
1002672000       10/10/2001    120.3         0.01317      
1002758400       10/11/2001    117.7         0.0          
1002844800       10/12/2001    112.2         0.0          
1002931200       10/13/2001    104.5         0.0          
1003017600       10/14/2001    113.9         0.0          
1003104000       10/15/2001    132.6         0.07896      
1003190400       10/16/2001    127.1         0.0          
1003276800       10/17/2001    120.6         0.0          
1003363200       10/18/2001    111.5         0.0          
1003449600       10/19/2001    103.1         0.0          
1003536000       10/20/2001    95.86         0.0          
1003622400       10/21/2001    86.64         0.0          
1003708800       10/22/2001    83.94         0.0          
1003795200       10/23/2001    76.21         0.0          
1003881600       10/24/2001    85.14         0.0          
1003968000       10/25/2001    88.95         0.0          
1004054400       10/26/2001    83.7          0.0          
1004140800       10/27/2001    81.0          0.0          
1004227200       10/28/2001    87.15         0.0          
1004313600       10/29/2001    81.07         0.0          
1004400000       10/30/2001    77.67         0.0          
1004486400       10/31/2001    70.98         0.0          
1004572800       11/1/2001     67.48         0.0          
1004659200       11/2/2001     61.23         0.0          
1004745600       11/3/2001     57.3          0.0          
1004832000       11/4/2001     53.8          0.0          
1004918400       11/5/2001     49.16         0.0          
1005004800       11/6/2001     46.24         0.0          
1005091200       11/7/2001     43.33         0.0          
1005177600       11/8/2001     40.81         0.0          
1005264000       11/9/2001     38.56         0.0          
1005350400       11/10/2001    36.64         0.0          
1005436800       11/11/2001    34.92         0.0          
1005523200       11/12/2001    33.61         0.0          
1005609600       11/13/2001    32.63         0.0          
1005696000       11/14/2001    32.2          0.0          
1005782400       11/15/2001    31.05         0.0          
1005868800       11/16/2001    28.97         0.0          
1005955200       11/17/2001    28.57         0.0          
1006041600       11/18/2001    26.73         0.0          
1006128000       11/19/2001    26.54         0.0          
1006214400       11/20/2001    24.85         0.0          
1006300800       11/21/2001    24.78         0.0          
1006387200       11/22/2001    23.25         0.0          
1006473600       11/23/2001    22.67         0.0          
1006560000       11/24/2001    22.48         0.0          
1006646400       11/25/2001    21.13         0.0          
1006732800       11/26/2001    21.18         0.0          
1006819200       11/27/2001    19.87         0.0          
1006905600       11/28/2001    19.39         0.0          
1006992000       11/29/2001    19.4          0.0          
1007078400       11/30/2001    18.25         0.0          
1007164800       12/1/2001     17.86         0.0          
1007251200       12/2/2001     17.34         0.0          
1007337600       12/3/2001     17.33         0.0          
1007424000       12/4/2001     16.31         0.0          
1007510400       12/5/2001     15.92         0.0          
1007596800       12/6/2001     15.93         0.0          
1007683200       12/7/2001     14.96         0.0          
1007769600       12/8/2001     14.6          0.0          
1007856000       12/9/2001     14.2          0.0          
1007942400       12/10/2001    14.24         0.0          
1008028800       12/11/2001    13.36         0.0          
1008115200       12/12/2001    13.05         0.0          
1008201600       12/13/2001    13.13         0.0          
1008288000       12/14/2001    12.64         0.0          
1008374400       12/15/2001    12.63         0.0          
1008460800       12/16/2001    11.77         0.0          
1008547200       12/17/2001    11.41         0.0          
1008633600       12/18/2001    11.45         0.0          
1008720000       12/19/2001    10.7          0.0          
1008806400       12/20/2001    10.45         0.0          
1008892800       12/21/2001    10.18         0.0          
1008979200       12/22/2001    9.987         0.0          
1009065600       12/23/2001    10.05         0.0          
1009152000       12/24/2001    9.313         0.0          
1009238400       12/25/2001    9.053         0.0          
1009324800       12/26/2001    8.768         0.0          
1009411200       12/27/2001    8.899         0.0          
1009497600       12/28/2001    8.235         0.0          
1009584000       12/29/2001    8.028         0.0          
1009670400       12/30/2001    7.809         0.0          
1009756800       12/31/2001    7.51          0.0          
1009843200       1/1/2002      7.625         0.0          
1009929600       1/2/2002      7.11          0.0          
1010016000       1/3/2002      6.91          0.0          
1010102400       1/4/2002      6.727         0.0          
1010188800       1/5/2002      6.533         0.0          
1010275200       1/6/2002      6.673         0.0          
1010361600       1/7/2002      6.174         0.0          
1010448000       1/8/2002      5.963         0.0          
1010534400       1/9/2002      5.793         0.0          
1010620800       1/10/2002     5.591         0.0          
1010707200       1/11/2002     5.449         0.0          
1010793600       1/12/2002     5.692         0.0          
1010880000       1/13/2002     6.553         0.0          
1010966400       1/14/2002     6.929         0.0          
1011052800       1/15/2002     6.406         0.0          
1011139200       1/16/2002     6.284         0.0          
1011225600       1/17/2002     5.623         0.0          
1011312000       1/18/2002     5.58          0.0          
1011398400       1/19/2002     5.064         0.0          
